Ex13-2Chocolate,13-2Capacity,Ex13-3Percentage,Ex13-3Strength,Ex13-4Flow,Ex13-4Uniformity ,Ex13-5MixingTechnique,Ex13-5Strength,Ex13-6CircuitType,Ex13-6Time,Ex13-7CoatingType,Ex13-7Conductivity,Ex13-8Diameter,Ex13-8Percent,Ex13-9RoddingLevel,Ex13-9Strength,Ex13-10PreparationMethod,Ex13-10Temperature,Ex13-11AirVoid,Ex13-11Strength,Ex13-12CrosslinkerLevel,Ex13-12DomainSpacing,Ex13-13DietType,Ex13-13ProteinContent,Ex13-14AOSoltuion ,Ex13-14AverageSpoilage,Ex13-15Temperature,Ex13-15Density,Ex13-28WaterPosition,Ex13-28Uniformity,Ex13-29Loom,Ex13-29Output,Ex13-30Batch,Ex13-30Yield,Ex13-31Chemical,Ex13-31Brightness,Ex13-36Min,Ex13-36Time,Ex13-36Glucose,Ex13-37NozzleType,Ex13-37Velocity,Ex13-37Shape,Ex13-38TipType,Ex13-38Specimen,Ex13-38Hardness,Ex13-39Test,Ex13-39Subject,Ex13-39Arsenic,Ex13-40StroageTime,Ex13-40Lot,Ex13-40Propectin,Ex13-41ChannelLength,Ex13-41Width,Ex13-41Leakage,Ex13-44CarbonType,Ex13-44SurfaceRoughness,Ex13-45Alloy,Ex13-45Resistance,Ex13-46Method,Ex13-46Score,Ex13-47Temperature,Ex13-47Volume,Ex13-48MeanWeight,Ex13-48Temperature,Ex13-48WeightGain,Ex13-49Algorithm,Ex13-49Project,Ex13-49PCTERROR,Ex13-50Treatment,Ex13-50Mean,Example13-1Concentration,Example13-1Strength,Example13-4Loom,Example13-4Strength,Example13-5Chemical,Example13-5Strength
DC,115.6,25,14,160,3.6,3,2985,3,16,3,132,0.71,76,25,1490,3,12.7,Medium,94,-0.75,8.3,Barley,4.2,400,30,125,21.5,4,1.36,3,4.1,3,1595,3,79.417,,,,1,16.59,0.81,3,3,9.5,Trainer,4,0.17,14 days,3,1820,3,3,1.7,EC4,0.2,2,104,2,17.3,80,1225,150,80,1.82,5,2,11,MP+HDMTX,919.4,10,19,3,97,3,1.8
DC,107.9,25,18,160,4.2,3,3050,3,15,3,127,0.71,77,25,1510,3,11.6,Medium,91,-0.75,8.1,Barley,4.02,400,15,150,21.9,4,1.65,3,4.2,3,1550,3,78.017,,,,2,16.59,0.92,4,3,10,Lab,4,0.1,21 days,3,377.6,4,3,2,EC4,0.28,2,102,2,19.7,80,1200,200,80,1.67,6,2,35,MP+HDMTX,404.2,10,15,3,95,3,1.7
DC+MK,105.4,25,18,250,4.6,4,2600,3,18,4,129,1.02,67,,,3,12.4,Medium,70,-0.5,8.9,Barley,4.02,,,150,21.8,,,3,4.1,3,1605,3,91.596,,,,3,16.59,0.95,1,4,10,,,,0 days,4,346.1,1,4,0.9,EC4,0.12,2,102,2,22.3,80,1170,100,90,1.4,1,3,82,MP+HDMTX,1024.8,15,14,4,95,3,0.6
DC+MK,101.1,25,19,250,3.4,4,2700,3,26,4,127,1.02,72,,,3,12.7,Medium,83,-0.5,8.7,Barley,3.9,,,150,21.8,,,3,4,3,1510,3,80.802,,,,4,16.59,0.98,2,4,9.9,,,,7 days,4,1375,2,4,0.9,EC1,0.1,2,105,2,23.2,80,1155,150,90,1.14,2,3,396,MP+HDMTX,54.1,15,18,4,96,3,1.5
DC+MK,102.7,25,19,250,2.9,4,2600,3,17,4,132,1.02,74,,,3,12.1,Medium,87,-0.5,8.9,Barley,3.81,,,150,21.6,,,3,3.9,3,1560,3,80.626,,,,5,16.59,0.78,3,4,9.7,,,,14 days,4,1150,3,4,2,EC1,0.16,2,99,2,21.4,80,1095,200,90,0.88,3,3,458,MP+HDMTX,62.8,15,19,4,99,3,1.3
DC+MK,97.1,30,19,250,3.5,4,2765,,,4,129,1.02,74,,,4,14.2,Medium,83,-0.5,8.4,Barley,3.62,,,150,21.5,,,4,3.6,4,1445,4,78.001,,,,1,20.43,0.75,4,4,10.2,,,,21 days,4,279.4,4,4,3,,,2,102,2,22.6,,,100,100,0.39,4,3,425,MP+HDMTX,671.6,15,17,4,98,4,3.9
DC+MK,101.9,30,25,250,4.1,,,,,5,147,1.4,62,,,4,14.4,High,78,-0.5,8.3,Barley,3.66,,,175,21.9,,,4,3.8,4,1440,4,78.358,,,,2,20.43,0.86,,,,,,,0 days,5,1260,1,5,1,,,2,111,3,23.3,,,150,100,-0.19,5,3,-34,MP+HDMTX,882.1,15,16,,,4,4.4
DC+MK,98.9,30,22,250,5.1,,,,,5,148,1.4,62,,,4,14.4,High,80,-0.5,8.5,Barley,4.44,,,175,21.7,,,4,4,4,1595,4,77.544,,,,3,20.43,0.89,,,,,,,7 days,5,544,2,5,1,,,2,103,3,22.8,,,200,100,-0.77,6,3,-53,MP+HDMTX,354.2,15,18,,,4,2
DC+MK,100,30,19,,,,,,,5,144,1.4,67,,,4,12.2,High,62,0,8.5,Barley,4.23,,,175,21.8,,,4,3.9,4,1465,4,77.364,,,,4,20.43,0.88,,,,,,,14 days,5,983.7,3,5,4,,,2,100,3,22.4,,,,,,1,4,2221,MP+HDMTX,321.9,20,19,,,4,4.1
DC+MK,99.8,30,23,,,,,,,5,142,1.4,69,,,4,11.7,High,69,0,8.7,Barley,3.82,,,175,21.7,,,4,3.7,4,1545,4,77.386,,,,5,20.43,0.76,,,,,,,21 days,5,447.8,4,5,20,,,2,103,3,23.7,,,,,,2,4,1306,MP+HDMTX,91.1,20,25,,,4,3.4
DC+MK,102.6,35,7,,,,,,,,,1.99,60,,,,,High,76,0,8.7,Barley,3.53,,,175,21.6,,,5,3.8,5,1595,,,,,,1,23.46,0.77,,,,,,,0 days,6,965.6,,,,,,3,119,3,20.4,,,,,,3,4,543,MP+LDMTX,108.4,20,22,,,,
DC+MK,100.9,35,10,,,,,,,,,1.99,61,,,,,High,85,0,8.7,Barley,4.47,,,175,21.8,,,5,3.6,5,1630,,,,,,2,23.46,0.81,,,,,,,7 days,6,672.2,,,,,,3,130,3,23.5,,,,,,4,4,552,MP+LDMTX,26.1,20,23,,,,
DC+MK,104.5,35,11,,,,,,,,,1.99,64,,,,,High,69,0,8.8,Barley,3.93,,,,,,,5,3.9,5,1515,,,,,,3,23.46,0.89,,,,,,,14 days,6,395.3,,,,,,3,132,3,20.8,,,,,,5,4,121,MP+LDMTX,240.8,20,18,,,,
DC+MK,93.5,35,15,,,,,,,,,1.99,66,,,,,High,85,0,8.8,Barley,3.27,,,,,,,5,3.8,5,1635,,,,,,4,23.46,0.86,,,,,,,21 days,6,272.1,,,,,,3,136,3,24.1,,,,,,6,4,170,MP+LDMTX,191.1,20,20,,,,
MC,102.1,35,11,,,,,,,,,,,,,,,,,0.5,8.8,Barley,3.3,,,,,,,5,4,5,1625,,,,,,5,23.46,0.76,,,,,,,0 days,7,1123,,,,,,3,141,,,,,,,,1,5,905,MP+LDMTX,69.7,,,,,,
MC,105.8,,,,,,,,,,,,,,,,,,,0.5,9.1,Barley+lupins,3.38,,,,,,,,,6,1520,,,,,,1,28.74,0.78,,,,,,,7 days,7,818,,,,,,3,172,,,,,,,,2,5,336,MP+LDMTX,242.8,,,,,,
MC,99.6,,,,,,,,,,,,,,,,,,,0.5,9,Barley+lupins,3.8,,,,,,,,,6,1455,,,,,,2,28.74,0.83,,,,,,,14 days,7,422.3,,,,,,3,145,,,,,,,,3,5,300,MP+LDMTX,62.7,,,,,,
MC,102.7,,,,,,,,,,,,,,,,,,,0.5,8.7,Barley+lupins,4.17,,,,,,,,,6,1450,,,,,,3,28.74,0.83,,,,,,,21 days,7,394.1,,,,,,3,150,,,,,,,,4,5,291,MP+LDMTX,396.9,,,,,,
MC,98.8,,,,,,,,,,,,,,,,,,,0.5,8.9,Barley+lupins,4.59,,,,,,,,,6,1480,,,,,,4,28.74,0.83,,,,,,,0 days,8,1106,,,,,,3,144,,,,,,,,5,5,15,MP+LDMTX,23.6,,,,,,
MC,100.9,,,,,,,,,,,,,,,,,,,0.5,8.5,Barley+lupins,4.07,,,,,,,,,6,1445,,,,,,5,28.74,0.75,,,,,,,7 days,8,406.8,,,,,,3,135,,,,,,,,6,5,104,MP+LDMTX,290.4,,,,,,
MC,102.8,,,,,,,,,,,,,,,,,,,1,8.6,Barley+lupins,4.32,,,,,,,,,,,,,,,,,,,,,,,,,14 days,8,420,,,,,,,,,,,,,,,1,6,839,,,,,,,,
MC,98.7,,,,,,,,,,,,,,,,,,,1,8.5,Barley+lupins,3.56,,,,,,,,,,,,,,,,,,,,,,,,,21 days,8,356.4,,,,,,,,,,,,,,,2,6,910,,,,,,,,
MC,94.7,,,,,,,,,,,,,,,,,,,1,8.6,Barley+lupins,3.67,,,,,,,,,,,,,,,,,,,,,,,,,0 days,9,1116,,,,,,,,,,,,,,,3,6,794,,,,,,,,
MC,97.8,,,,,,,,,,,,,,,,,,,1,8.7,Barley+lupins,4.15,,,,,,,,,,,,,,,,,,,,,,,,,7 days,9,461.6,,,,,,,,,,,,,,,4,6,826,,,,,,,,
MC,99.7,,,,,,,,,,,,,,,,,,,1,8.8,Barley+lupins,3.51,,,,,,,,,,,,,,,,,,,,,,,,,14 days,9,409.5,,,,,,,,,,,,,,,5,6,103,,,,,,,,
MC,98.6,,,,,,,,,,,,,,,,,,,1,8.8,Barley+lupins,4.2,,,,,,,,,,,,,,,,,,,,,,,,,21 days,9,351.2,,,,,,,,,,,,,,,6,6,199,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Barley+lupins,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,527,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Barley+lupins,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,473,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Barley+lupins,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,488,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Barley+lupins,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,509,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Barley+lupins,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,87,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Barley+lupins,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,142,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Barley+lupins,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,122,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Barley+lupins,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,199,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Barley+lupins,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,142,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Barley+lupins,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,153,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Barley+lupins,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,-17,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Barley+lupins,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,41,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Barley+lupins,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Barley+lupins,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Barley+lupins,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Barley+lupins,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lupins,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
