Ex15-07 x-bar,Ex15-07 r,Ex15-08 x-bar,Ex15-08 r,Ex15-08,Ex15-09 x1,Ex15-09 x2,Ex15-09 x3,Ex15-10 Sample,Ex15-10 x1, Ex15-10 x2,Ex15-10 x3,Ex15-10 x4,Ex15-10 x5,Ex15-11 x1, Ex15-11 x2,Ex15-11 x3,Ex15-11 x4,Ex15-11 x5,Ex15-14 x1, Ex15-14 x2,Ex15-14 x3,Ex15-14 x4,Ex15-17 ,Ex15-18 ,Ex15-19,Ex15-20,Ex15-21,Ex15-22,Ex15-23,Ex15-41,Ex15-42,Ex15-43,Ex15-44,Ex15-45,Ex15-46,Ex15-47,Ex15-48,Ex15-61,Ex15-62,Ex15-63,Ex15-64,Ex15-71,Ex15-72,Ex15-73 Diameter,Ex15-73 Diameter,Ex15-73 Diameter,Ex15-75,Ex15-76,Ex15-77,Ex15-78 Year,Ex15-78 Energy Comsumption,Ex15-79 x-bar,Ex15-79 s,Ex15-87,Ex15-91 x-bar,Ex15-91 r,Ex15-98 Month Year,Ex15-98 Retail Price,Ex15-98 Refining,Ex15-98 Distribution & Marketing,Ex15-98 Taxes,Ex15-98 Crude Oil,Ex15-99 M,Ex15-99 T,Ex15-99 W,Ex15-99 Th,Ex15-99 F,Ex15-100,Ex15-102,Ex15-111,Example15-1x1,Example15-1x2,Example15-1x3,Example15-1x4,Example15-1x5,Example15-2Concentration,Example15-4NumDefectives,Example15-5NumDefects
35.4,8,11,6.45,0.98,15.3,13.1,13.7,11,4.975,4.959,4.962,4.971,4.968,0.0635,0.063,0.0638,0.0635,0.0633,164.72,165.75,163.07,163.84,51,17.1,9.99,493,100.9,47,99,0.03,0.03,42,24,15,36,52,1,14.3,88.55,9.99,95.4,79,159.138,63.994,63.998,63.994,0.1,2,60.3262,1983,6487.898,469,40.52,0.4051,138.4,0.8,Nov-00,1.517,10.4,11.8,27.8,50,,,,,,6,11.26,9,28,30,28,32,31,101.3,36,9
34,6,12,5.38,1.36,16.6,18,18,12,4.945,4.977,4.95,4.969,4.954,0.0623,0.063,0.063,0.0627,0.0629,164.25,162.72,163.25,164.14,57,15.9,10.41,507,117.7,50,75,0.03,0.05,37,6,8,24,74,6,16.1,90.43,10.41,94.5,79,161.08,64.004,64,64.007,0.07,3,60.3262,1984,6430.646,566.67,113.82,0.4016,138.5,0.9,Dec-00,1.443,8,17.9,29.2,44.8,,,,,,10,10.02,15,31,35,35,35,34,98.7,52,15
36,4,13,6.03,0.83,17,15.2,18.1,13,4.976,4.964,4.97,4.968,4.972,0.0635,0.0631,0.063,0.063,0.063,164.71,162.63,165.07,162.59,58,16.4,10.36,503,115.6,32,77,0.04,0.13,25,9,4,22,43,9,13.1,91.04,10.36,104.5,78,159.989,63.983,64.002,63.998,0.12,2,60.3269,1985,6032.728,578.33,58.03,0.3994,137.9,1.2,1-Jan,1.447,17.8,10.4,29.2,42.7,,,,,,11,10.95,8,27,32,34,35,37,101.1,35,8
37.2,7,14,7.01,1.45,16.3,16.5,17.7,14,4.97,4.954,4.964,4.959,4.968,0.0645,0.064,0.0631,0.064,0.0642,166.61,167.07,167.41,166.1,50,15.8,9.99,475,100.5,40,82,0.07,0.1,88,11,16,23,50,8,15.5,88.17,9.99,99.7,78,159.09,64.006,63.967,63.994,0.08,8,60.3261,1986,6131.542,485.67,103.33,0.3999,138.5,1.1,1-Feb,1.45,17.3,11,29.1,42.6,,,,,,17,8.99,10,33,33,35,37,36,98.4,41,10
35.2,3,15,5.83,1.37,8.4,7.7,8.4,15,4.982,4.962,4.968,4.975,4.963,0.0619,0.0644,0.0632,0.0622,0.0635,165.23,163.4,164.94,163.74,53,15.4,10.12,497,103.1,46,93,0.04,0.14,101,15,11,22,60,6,12.6,91.23,10.12,97.7,78,162.699,64.012,64.014,63.998,0.09,0,60.3265,1987,5686.932,746.33,107.88,0.4062,140.8,1,1-Mar,1.409,18.8,9.7,30,41.5,,,,,,9,9.5,8,35,37,32,35,39,97,42,8
33.4,10,16,6.35,1.04,11.1,13.8,11.9,16,4.961,4.943,4.95,4.949,4.957,0.0631,0.0627,0.063,0.0628,0.0629,164.27,163.42,164.73,164.88,52,15.4,9.81,499,93.1,59,70,0.04,0.07,64,8,12,18,38,4,,90.92,9.81,97,79,163.89,64,63.984,64.005,0.15,2,60.3266,1988,5488.649,436.33,98.69,0.4048,140.5,1.3,1-Apr,1.552,31.6,4.6,27.1,36.7,,,,,,,9.66,2,33,33,27,31,30,96.7,30,2
35,4,17,6.05,0.83,16.5,17.1,18.5,17,4.98,4.97,4.975,4.978,4.977,0.0616,0.0623,0.0631,0.062,0.0625,163.59,164.84,164.45,164.12,54,14.3,9.73,468,93.7,20,87,0.04,0.06,51,3,8,25,36,13,,88.86,9.73,95.8,79,164.247,63.994,64.012,63.986,0.1,4,60.3265,1989,6294.209,556.83,99.25,0.4071,139.4,1.4,1-May,1.702,26.4,14,24.7,35,,,,,,,10.42,7,35,34,34,30,32,100.3,46,7
34.4,7,18,7.11,1.35,18,14.1,15.9,18,4.975,4.968,4.971,4.969,4.972,0.063,0.063,0.0626,0.0629,0.0628,164.9,164.2,164.32,163.98,50,16.1,10.14,486,72.4,33,76,0.03,0.09,74,6,6,21,65,3,,90.87,10.14,97.4,82,162.7,64.006,64.01,64.018,0.06,3,60.3268,1990,6132.572,390.33,117.35,0.4015,139.9,1,1-Jun,1.616,13.2,24.1,26,36.7,,,,,,,11.3,1,32,33,30,30,33,101.4,38,1
33.9,8,19,7.32,1.09,17.8,17.3,12,19,4.977,4.966,4.969,4.973,4.97,0.0636,0.0631,0.0629,0.0635,0.0634,163.98,163.53,163.34,163.82,56,15.8,9.96,511,87.4,56,84,0.06,0.08,71,7,5,21,41,0,,90.73,9.96,99,82,164.859,63.984,64.002,64.003,0.12,5,60.3262,1991,6158.087,562.33,75.69,0.3991,137.5,1.5,1-Jul,1.421,10,20,30,40,,,,,,,12.53,7,25,27,34,27,28,97.2,26,7
34,4,20,5.9,1.22,11.5,10.8,11.2,20,4.975,4.967,4.969,4.972,4.972,0.064,0.0635,0.0629,0.0635,0.0634,164.08,164.33,162.38,164.08,53,15.9,10.06,487,96.1,49,94,0.06,0.11,43,4,9,14,95,7,,89.78,10.06,102.6,81,163.65,64,64.01,64.013,0.13,0,60.3266,1992,5907.147,675,90.1,0.4021,139.2,1.3,1-Aug,1.421,20,9,30,41,,,,,,,10.76,13,35,35,36,33,30,101,30,13
,,21,5.5,0.98,,,,,,,,,,0.0628,0.0625,0.0616,0.062,0.0623,165.71,162.63,164.42,165.27,,15.2,10.11,,97.1,21,,,0.12,80,9,7,8,,,,,10.11,,,165.99,63.988,64.001,64.009,,2,,1993,6155.959,416.5,89.27,0.4009,,,1-Sep,1.522,18,17,28,37,,,,,,,11.92,,,,,,,,,
,,22,6.32,1.21,,,,,,,,,,0.0615,0.0625,0.0619,0.0619,0.0622,164.03,163.36,164.55,165.77,,16.7,9.95,,95.7,62,,,0.14,,20,14,11,,,,,9.95,,,163.22,64.004,63.999,63.99,,1,,1994,6064.779,568.33,61.36,0.3988,,,1-Oct,1.315,10,20.8,31.9,37.2,,,,,,,13.24,,,,,,,,,
,,23,6.55,0.76,,,,,,,,,,0.063,0.0632,0.063,0.0631,0.063,160.52,161.68,161.18,161.33,,15.2,9.92,,94.2,34,,,0.06,,11,8,14,,,,,9.92,,,164.338,64.01,63.989,63.99,,9,,1995,6669.261,762.67,105.94,0.3994,,,1-Nov,1.171,10,18,36,36,,,,,,,10.64,,,,,,,,,
,,24,5.9,1.2,,,,,,,,,,0.0635,0.0629,0.0635,0.0631,0.0633,164.22,164.27,164.35,165.12,,14.7,10.09,,102.4,31,,,0.05,,7,21,23,,,,,10.09,,,164.83,64.015,64.008,63.993,,3,,1996,7136.799,786.17,65.05,0.4016,,,1-Dec,1.086,11.7,12.7,38.7,36.9,,,,,,,11.31,,,,,,,,,
,,25,5.95,1.19,,,,,,,,,,0.0623,0.0629,0.063,0.0626,0.0628,163.93,163.96,165.05,164.52,,17.9,9.85,,131.9,98,,,0.14,,18,,18,,,,,9.85,,,,63.982,63.984,63.995,,2,,1997,7075.152,530.67,99.42,0.401,,,2-Jan,1.107,13,11.8,37.9,37.2,,,,,,,11.26,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,,,0.11,,10,,17,,,,,,,,,,,,,,,1998,6560.632,,,,,,2-Feb,1.114,12.1,11.2,37.7,39.1,,,,,,,11.79,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,0.09,,6,,19,,,,,,,,,,,,,,,1999,6598.63,,,,,,2-Mar,1.249,19.4,6.1,33.6,40.9,,,,,,,10.53,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16.2,,,,,,,0.13,,4,,20,,,,,,,,,,,,,,,2000,6158.232,,,,,,2-Apr,1.397,15.5,13,30.1,41.4,,,,,,,11.82,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,0.12,,0,,22,,,,,,,,,,,,,,,2001,5328.335,,,,,,2-May,1.392,11.9,14.2,30.2,43.7,,,,,,,11.47,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16.3,,,,,,,0.09,,9,,19,,,,,,,,,,,,,,,2002,5835.339,,,,,,2-Jun,1.382,15,13,30.4,41.6,,,,,,,11.76,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,13,,,,,,,,,,,,,,,2003,6081.722,,,,,,2-Jul,1.397,15,12.6,30.1,42.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,26,,,,,,,,,,,,,,,2004,6116.287,,,,,,2-Aug,1.396,11.4,13.4,30,45,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,13,,,,,,,,,,,,,,,,,,,,,,2-Sep,1.4,10.8,12.6,30,46.7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,14,,,,,,,,,,,,,,,,,,,,,,2-Oct,1.445,13.9,11.7,29.1,45.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,22,,,,,,,,,,,,,,,,,,,,,,2-Nov,1.419,11.1,18,29.6,41.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,2-Dec,1.386,11.7,12.3,30.3,45.7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,3-Jan,1.458,11.5,10.3,28.8,49.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,3-Feb,1.613,15,9.5,26,49.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,3-Mar,1.693,14.8,14.8,24.8,45.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,3-Apr,1.589,13.2,19.8,26.4,40.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,3-May,1.497,15.3,16.3,28.1,40.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,3-Jun,1.493,15.1,12.3,28.1,44.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,3-Jul,1.513,15.3,11.9,27.8,44.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,3-Aug,1.62,22.5,8.2,25.9,43.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,3-Sep,1.679,13.9,22.7,25,38.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,3-Oct,1.564,14.9,16.1,26.9,42.2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,3-Nov,1.512,11.7,15.3,27.8,45.2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,3-Dec,1.479,11.5,12.6,28.4,47.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,4-Jan,1.572,15.9,9.9,26.7,47.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,4-Feb,1.648,19.1,9.2,25.5,46.2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,4-Mar,1.736,19,11.3,24.2,45.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,4-Apr,1.798,22,9.9,23.4,44.6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,4-May,1.983,30.6,7.8,21.2,40.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,4-Jun,1.969,21.3,16.7,21.3,40.7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,4-Jul,1.911,20.9,11.3,21.9,45.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,4-Aug,1.878,13.9,12.2,22.4,51.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,4-Sep,1.87,14.8,9.1,22.5,53.6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,4-Oct,2,13,9.3,21,56.7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,4-Nov,1.979,10.7,14.6,21.2,53.6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,4-Dec,1.841,8.9,18.1,23.9,49.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,5-Jan,1.831,17.7,7.3,24,50.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,5-Feb,1.91,16.1,9.3,23,51.6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,5-Mar,2.079,19.3,6.2,21.2,53.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,5-Apr,2.243,20.9,9.6,19.6,49.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,5-May,2.161,17.9,12.8,20.4,49,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,5-Jun,2.156,18.5,6.9,20.4,54.2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,5-Jul,2.29,17.9,8,19.2,54.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,5-Aug,2.486,24.3,2.1,17.7,55.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,5-Sep,2.903,27.3,7.5,15.2,50,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,5-Oct,2.717,15.1,17.8,16.2,50.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,5-Nov,2.257,8.3,13.1,19.5,57.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,5-Dec,2.185,13.5,7.9,20.1,58.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,6-Jan,2.316,13.4,6.6,19.8,60.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,6-Feb,2.28,9.8,11.4,20.1,58.6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,6-Mar,2.425,21.7,4.5,18.9,54.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,6-Apr,2.742,25.8,3.1,16.7,54.2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,6-May,2.907,21.9,8.8,15.8,53.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,6-Jun,2.885,22,7.9,15.9,54.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,6-Jul,2.981,26.3,6.3,15.4,52,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,6-Aug,2.952,15.2,13.5,15.9,55.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,6-Sep,2.555,6.3,18.8,18.3,56.7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,6-Oct,2.245,10.9,10.6,20.8,57.7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,6-Nov,2.229,14.6,7.5,20.4,57.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,6-Dec,2.313,12.9,9.4,19.7,58,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,7-Jan,2.24,10.6,15.2,20.3,53.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,7-Feb,2.278,18,5.8,20,56.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,7-Mar,2.563,23.6,8.5,15.5,52.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,7-Apr,2.845,28.1,7.6,14,50.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,7-May,3.146,27.9,13.3,12.7,46.1,,,,,,,,,,,,,,,,
