Ex11-3 Player,Ex11-3 Team,Ex11-3 Yds ,Ex11-3 Rating,Ex11-4 Sale,Ex11-4 Taxes,Ex11-5 Temp,Ex11-5 Usage,Ex11-6 Carline,Ex11-6 Engine Replacement,Ex11-6 MPG,Ex11-7 y,Ex11-7 x,Ex11-8 y,Ex11-8 x,Ex11-9 y,Ex11-9 x,Ex11-10 y,Ex11-10 x,Ex11-11 y,Ex11-11 x,Ex11-12 Temp,Ex11-12 Porosity,Ex11-13 Time,Ex11-13 BOD,Ex11-14 Stress ,Ex11-14 Deflection,Ex11-15 x,Ex11-15 y,Ex11-17 Makes,Ex11-17 Model,Ex11-17 MPG,Ex11-17 Engine displacement,Ex11-35 BMI,Ex11-35 Age,Ex11-60 Compress,Ex11-60 Density,Ex11-70 x,Ex11-70 y,Ex11-71 Statistics,Ex11-71 OR,Ex11-72 Weight,Ex11-72 Systolic BP,Ex11-73 Supply Voltage,Ex11-73 Current WithoutElect,Ex11-74 2000,Ex11-74 2001,Ex11-76 x,Ex11-76 y,Ex11-78 Temp,Ex11-78 Vapor pressure,Ex11-79 x,Ex11-79 y,Ex11-80 Household,Ex11-80 Income,Ex11-80 Homeownership,Ex11-81 Load,Ex11-81 n,Ex11-81 Number Failing,Ex11-82 Discount,Ex11-82 n,Ex11-82 Number Redeemed,Ex11-83 Income,Ex11-83 Age,Ex11-83 y,Ex11-85 y,Ex11-85 x,Ex11-86 y,Ex11-86 x,Ex11-87 x,Ex11-87 y,Ex11-88 Year,Ex11-88 y,Ex11-88 x,Ex11-90 Years,Ex11-90 Days,Ex11-90 Index,Ex11-91 Ratio,Ex11-91 Viscosity,Ex11-92 Thermocouple,Ex11-92 IR,Ex11-93 y,Ex11-93 x,Ex11-94 power, Ex 11-94 No of Atoms,Ex11-95 carat,Ex11-95 price,Ex11-96 Year,Ex11-96 Population,Ex11-96 Count,Example11-1Level,Example11-1Purity,Example11-9Velocity,Example11-9DCOutput
Matt Ryan,ATL,7.93,87.7,31,6.2712,41,369.95,NEON/SRT-4/SX 2.0,122,41.3,54,1012,5,85,,,15,0.81,2165.2,13,,,20,3.8,,,8.5,2.26,Ford,Taurus,27,"2,507.22",,,4360,33.8,30.5,14.1,84,85,158,133,,,13.16,13.52,1,-3.87,373,760,1818,5.84,11,38700,1,,,,25,500,391,37000,5,1,,,125.1,2.8,,,1934,20,7.012,1986,61,16.9,,,,,,,41,0.64,0.32,1468,2001,4061209,0.859,1.19,93.54,2.9,0.653
Shaun Hill,SF,7.1,87.5,30.9,5.9592,30,273.98,PACIFICA 2WD,215,30,57,1030,4,89,,,17.3,0.78,2399.55,3.75,,,,,,,9,2.4,Ford,Tempo,33,"1,474.84",,,1880,21.5,25.1,12.9,71,72,169,135,,,12.47,12.61,2,3.46,,,1700,5.21,12,40100,0,,,,,,,31000,7,1,,,145.2,2.8,,,1935,21,7.618,1987,48,17.1,,,,,,,46,0.71,0.32,1202,2002,4105848,0.364,1.15,92.52,6.35,1.93
Seneca Wallace,SEA,6.33,87,30,5.05,,,PACIFICA AWD,215,28.2,58,1050,6,90,,,19.2,0.69,1779.8,25,,,,,,,9.5,2.39,Honda,Accord,30,"1,950.06",,,3670,32.2,12.4,8.8,62,65,170,150,,,,,2,-3.46,,,747,3.25,13,49500,1,,,,,,,40000,4,1,,,134.3,3,,,1936,22,8.131,1988,61,18.2,,,,,,,48,0.79,0.33,1327,2003,4148744,0.501,0.98,90.56,4.6,1.562
Eli Manning,NYG,6.76,86.4,36.9,8.2464,,,PT CRUISER,148,34.1,,,8,90,,,23.1,1.3,2336.75,9.75,,,,,,,9.5,2.41,Mazda,RX-7,23,"1,310.97",,,1740,22.5,35.1,17.4,90,93,172,153,,,,,3,2.65,,,2030,4.43,14,38000,0,,,,,,,75000,2,0,,,144.5,3,,,1937,23,8.593,1989,43,17.3,,,,,,,50,0.82,0.33,1098,2004,4198068,0.656,1.01,89.54,5.8,1.737
Donavan McNabb,PHI,6.86,86.4,41.9,6.6969,,,RAM 1500 PICKUP 2WD,500,18.7,,,4,90,,,27.4,1.05,1765.3,22,,,,,,,10,2.5,Mercedes,260E,24,"2,605.54",,,2250,27.5,31.5,14.9,83,81,159,128,,,,,3,-2.65,,,1643,3.16,15,42000,1,,,,,,,43000,9,1,,,143.7,3.2,,,,,,1990,33,17.5,,,,,,,51,0.83,0.34,1693,,,,1.11,89.85,7.4,2.088
Eli Manning,DEN,7.35,86,40.5,7.7841,,,RAM 1500 PICKUP 4WD,348,20.3,,,5,90,,,27.7,1.06,2053.5,18,,,,,,,12,2.32,Mercury,Tracer,29,"1,589.55",,,2650,25.6,21.1,10.5,75,70,168,132,,,,,4,0,,,414,0.5,16,54000,1,,,,,,,49000,2,0,,,146.9,3.3,,,,,,1991,36,16.6,,,,,,,,,0.34,1551,,,,1.2,90.39,3.6,1.137
Trent Edwards,BUF,7.22,85.4,43.9,9.0384,,,SEBRING 4-DR,165,35.1,,,7,94,,,31.8,1.74,2414.4,6,,,,,,,12,2.32,Nissan,Maxima,26,"2,966.06",,,4970,34.5,27.6,16.1,71,73,174,149,,,,,,,,,354,0.17,17,51700,1,,,,,,,37500,4,1,,,,,,,,,,,,,,,,,,,,,0.34,1410,,,,1.26,93.25,7.85,2.179
Jake Delhomme,CAR,7.94,84.7,37.5,5.9894,,,STRATUS 4-DR,148,37.9,,,9,100,,,39.5,1.62,2200.5,12.5,,,,,,,13,2.43,Oldsmobile,Cutlass,29,"2,834.96",,,2620,26.2,,,76,72,183,158,,,,,,,,,1276,1.88,18,39400,0,,,,,,,71000,1,0,,,,,,,,,,,,,,,,,,,,,0.34,1269,,,,1.32,93.41,8.8,2.112
Jason Campbell,WAS,6.41,84.3,37.9,7.5422,,,TOWN & COUNTRY 2WD,148,33.8,,,7,100,,,,,2654.2,2,,,,,,,13,2.47,Plymouth,Laser,37,"1,999.22",,,2900,26.7,,,84,80,215,150,,,,,,,,,745,0.77,19,40900,0,,,,,,,34000,5,0,,,,,,,,,,,,,,,,,,,,,0.34,1316,,,,1.43,94.98,7,1.8
David Garrard,JAC,6.77,81.7,44.5,8.7951,,,VIPER CONVERTIBLE,500,25.9,,,6,100,,,,,1753.7,21.5,,,,,,,14.5,2.56,Pontiac,Grand Prix,29,"2,834.96",,,1670,21.1,,,97,98,195,163,,,,,,,,,795,3.7,20,52800,1,,,,,,,27000,6,0,,,,,,,,,,,,,,,,,,,,,0.34,1222,,,,0.95,87.33,5.45,1.501
Drett Fevre,NYJ,6.65,81,37.9,6.0831,,,WRANGLER/TJ 4WD,148,26.4,,,,,,,,,,,,,,,,,15.5,2.65,,,,,,,2540,24.1,,,,,180,156,,,,,,,,,540,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,1738,,,,,,9.1,2.303
Joe Flacco,BAL,6.94,80.3,38.9,8.3607,,,,,,,,,,,,,,,,,,,,,,15.5,2.47,,,,,,,3840,30.7,,,,,143,124,,,,,,,,,874,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,1593,,,,,,10.2,2.31
Kerry Collins,TEN,6.45,80.2,36.9,8.14,,,,,,,,,,,,,,,,,,,,,,16.5,2.64,,,,,,,3800,32.7,,,,,240,170,,,,,,,,,1543,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,1447,,,,,,4.1,1.194
Ben Roethlisberger,PIT,7.04,80.1,45.8,9.1416,,,,,,,,,,,,,,,,,,,,,,17,2.56,,,,,,,4600,32.6,,,,,235,165,,,,,,,,,1029,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,1255,,,,,,3.95,1.144
Kyle Orton,CHI,6.39,79.6,,,,,,,,,,,,,,,,,,,,,,,,22.5,2.7,,,,,,,1900,22.1,,,,,192,160,,,,,,,,,710,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,1635,,,,,,2.45,0.123
JaMarcus Russell,OAK,6.58,77.1,,,,,,,,,,,,,,,,,,,,,,,,29,2.72,,,,,,,2530,25.3,,,,,187,159,,,,,,,,,1434,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,1485,,,,,,,
Tyler Thigpen,KC,6.21,76,,,,,,,,,,,,,,,,,,,,,,,,31.5,2.57,,,,,,,2920,30.8,,,,,,,,,,,,,,,837,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,1420,,,,,,,
Gus Frerotte,MIN,7.17,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4990,38.9,,,,,,,,,,,,,,,1748,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,1420,,,,,,,
Dan Orlovsky,DET,6.34,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670,22.1,,,,,,,,,,,,,,,1381,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1911,,,,,,,
Marc Bulger,STL,6.18,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3310,29.2,,,,,,,,,,,,,,,1428,7.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1525,,,,,,,
Ryan Fitzpatrick,CIN,5.12,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,30.1,,,,,,,,,,,,,,,1255,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,1956,,,,,,,
Derek Anderson,CLE,5.71,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,31.4,,,,,,,,,,,,,,,1777,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,1747,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,26.7,,,,,,,,,,,,,,,370,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1572,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590,22.1,,,,,,,,,,,,,,,2316,8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,2942,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3770,30.3,,,,,,,,,,,,,,,1130,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,2532,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3850,32,,,,,,,,,,,,,,,463,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3501,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2480,23.2,,,,,,,,,,,,,,,770,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3501,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3570,30.3,,,,,,,,,,,,,,,724,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3501,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2620,29.9,,,,,,,,,,,,,,,808,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3293,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890,20.8,,,,,,,,,,,,,,,790,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3016,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3030,33.2,,,,,,,,,,,,,,,783,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3030,28.2,,,,,,,,,,,,,,,406,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1242,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1114,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1787,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3560,14.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
