Ex12-5Age,Ex12-5Severity,Ex12-5Surg-Med,Ex12-5Anxiety,Ex12-5Satis,Ex12-6y,Ex12-6x1,Ex12-6x2,Ex12-6x3,Ex12-6x4,Ex12-7 mfr,Ex12-7 carline,Ex12-7 car/truck,Ex12-7 cid,Ex12-7 rhp,Ex12-7 trns,Ex12-7 drv,Ex12-7 od,Ex12-7 etw,Ex12-7 cmp,Ex12-7 axle,Ex12-7 n/v,Ex12-7 a/c,Ex12-7 hc,Ex12-7 co,Ex12-7 co2,Ex12-7 mpg,Ex12-8y,Ex12-8x1,Ex12-8x2,Ex12-8x3,Ex12-8x4,Ex12-8x5,Ex12-8x6,Ex12-9x1,Ex12-9x2,Ex12-9x3,Ex12-9y,Ex12-10Temp,Ex12-10SoakTime,Ex12-10SoakPct,Ex12-10DiffTime,Ex12-10DiffPct,Ex12-10Pitch,Ex12-11 rads,Ex12-11 mAmps,Ex12-11 exposure time,Ex12-12 AGE,Ex12-12 SEX,Ex12-12 DRINKUSE,Ex12-12 COOKUSE,Ex12-12 ARSWATER,Ex12-12 ARSNAILS,Ex12-13 density,Ex12-13 dielectric constant,Ex12-13 loss factor,Ex12-14 x1 ,Ex12-14 x2,Ex12-14 y,Ex12-15 Brightness (%),Ex12-15 Contrast (%),Ex12-15 Useful range (ng),Ex12-16 Stack Loss(y),Ex12-16 x1,Ex12-16 x2,Ex12-16 x3,Ex12-17First,Ex12-17Last,Ex12-17 Team,Ex12-17 Att,Ex12-17 Comp,Ex12-17 Pct Comp,Ex12-17 Yds,Ex12-17 Yds per Att,Ex12-17 TD,Ex12-17 Pct TD,Ex12-17 Long,Ex12-17 Int,Ex12-17 Pct Int,Ex12-17 Rating Pts,Ex12-18 Team,Ex12-18 W,Ex12-18 L,Ex12-18 T,Ex12-18 OTL,Ex12-18 PTS,Ex12-18 GF,Ex12-18 GA,Ex12-18 ADV,Ex12-18 PPGF,Ex12-18 PCTG,Ex12-18 PEN,Ex12-18 BMI,Ex12-18 AVG,Ex12-18 SHT,Ex12-18 PPGA,Ex12-18 PKPCT,Ex12-18 SHGF,Ex12-18 SHGA,Ex12-18 FG,Ex12-19y,Ex12-19x1,Ex12-19x2,Ex12-72y,Ex12-72x,Ex12-73y,Ex12-73x,Ex12-74y,Ex12-74x,Ex12-75y,Ex12-75x1,Ex12-75x2,Ex12-75x3,Ex12-96 y,Ex12-96 x1,Ex12-96 x2,Ex12-96 x3,Ex12-96 x4,Ex12-96 x5,Ex12-96 x6,Ex12-97 y,Ex12-97 x1,Ex12-97 x2,Ex12-97 x3,Ex12-97 x4,Ex12-97 x5,Ex12-97 x6,Ex12-97 y*,Ex12-97 x3*,Ex12-98 x1,Ex12-98 x2,Ex12-98 x3,Ex12-98 x4,Ex12-98 x5,Ex12-98 y,Ex12-99 x1,Ex12-99 x2,Ex12-99 x3,Ex12-99 x4,Ex12-99 x5,Ex12-99 y,Ex12-99 y*,Ex12-99 x1*,Ex12-99 x2*,Ex12-99 x3*,Ex12-99 x4*,Ex12-100y,Ex12-100x,Ex12-104ALBatting Team,Ex12-104ALBatting W,Ex12-104ALBatting AVG,Ex12-104ALBatting R,Ex12-104ALBatting H,Ex12-104ALBatting 2B,Ex12-104ALBatting 3B,Ex12-104ALBatting HR,Ex12-104ALBatting RBI,Ex12-104ALBatting BB,Ex12-104ALBatting SO,Ex12-104ALBatting SB,Ex12-104ALBatting GIDP,Ex12-104ALBatting LOB,Ex12-104ALBatting OBP,Ex12-104NLBatting Team          , Ex12-104NLBatting W , Ex12-104NLBatting AVG,    Ex12-104NLBatting R, Ex12-104NLBatting   H, Ex12-104NLBatting 2B, Ex12-104NLBatting 3B, Ex12-104NLBatting  HR , Ex12-104NLBatting RBI , Ex12-104NLBatting BB , Ex12-104NLBatting  SO , Ex12-104NLBatting SB, Ex12-104NLBatting GIDP, Ex12-104NLBatting LOB, Ex12-104NLBatting OBP,Example12-1Strength,Example12-1Length,Example12-1Height,Example12-12y,Example12-12x,Example12-13y,Example12-13Speed,Example12-13Tool,Example12-14Clarity,Example12-14Aroma,Example12-14Body,Example12-14Flavor,Example12-14Oakiness,Example12-14Quality
53,38,1,2.2,56,288,50,25,90,100,20,NEON/SRT-4/SX 2.0,C,122,132,L4,F,2,3000,9.8,2.69,39.2,Y,0.003,0.16,214,41.3,10.3,6.4,18,32.6,87.1,2,1.6,15.5,230.2,5.75,97.52,1650,1.17,1.1,0.58,0.9,0.021,44.4,15,1,72,2,5,5,0,0.073,1.215,3.05,0.045,,,,,,,14,58,18,89,Matt,Ryan,ATL,434,265,61.1,3440,7.93,16,3.7,70,11,2.5,87.7,Detroit,48,21,11,2,109,255,189,314,63,20.1,966,22,11.8,317,42,86.8,15,5,47,,,,,,,,80.11,7.1,0.452,9.3,3.6,2,4445,2107,20520,30120,195,1740,101,4445,2107,20520,30120,195,1740,101,8.3995351479,10.3129446819,3,10,8,8,25,4.554,3,10,8,8,25,4.554,1.5160059676,0.5773502692,0.316227766,0.3535533906,2.8284271247,,,Detroit,71,0.272,723,1521,283,45,168,678,384,1038,66,137,1077,0.321,Arizona       ,77,0.256,696,1419,291,27,191,670,606,1094,67,132,1247,0.332,17.08,4,412,1.2,80,33.5,224,1,1,5.1,4.3,4.5,3.6,14.4
41,30,0,2.1,88,261,38,23,89,98,20,PACIFICA 2WD,T,215,249,L4,F,2,4750,9.9,2.95,35.3,Y,0.022,0.01,295,30,10.5,6,20.6,33.4,93.1,2.1,2.1,16.12,226.5,3.75,59.06,1650,1.17,1.1,0.58,0.9,0.019,88.8,15,2,45,2,1,5,0.046,0.832,,,,,,,,,,13,58,17,88,Shaun,Hill,SF,288,181,62.8,2046,7.1,13,4.5,48,8,2.8,87.5,Edmonton,36,29,12,5,89,221,208,338,44,13,1220,22,14.9,349,66,81.1,13,8,35,,,,,,,,84.67,7.3,0.112,7.7,2.8,7.1,4188,1973,20130,29920,190,1711,100,4188,1973,20130,29920,190,1711,100,8.339978572,10.3062824321,8,3,3,3,25,0.293,8,3,3,3,25,0.293,-1.22758267,0.3535533906,0.5773502692,0.5773502692,1.7320508076,,,Seattle,69,0.256,699,1408,289,34,130,657,466,986,102,115,1076,0.317,San Francisco ,75,0.261,649,1427,299,26,128,617,431,901,71,147,1093,0.319,37,11,400,1.18,90,31.23,212,1,0.5,3.3,5.4,4.3,3.6,12.3
37,31,0,1.9,88,,,,,,20,PACIFICA AWD,T,215,249,L4,4,2,5000,9.9,2.95,35.3,Y,0.024,0.05,314,28.2,10.8,6.2,20.2,31.8,83.4,2.2,2.1,15.13,225.6,6.125,111.8,1650,1.17,1.15,0.58,0.9,0.021,133.2,15,3,53,1,5,5,0.0194,0.517,,,,,,,,,,11,58,18,82,Seneca,Wallace,SEA,242,141,58.3,1532,6.33,11,4.5,90,3,1.2,87,Florida,28,35,15,4,75,188,221,310,52,16.8,1192,22,14.5,374,51,86.4,7,12,36,,,,,,,,,,0.432,9.8,4.2,2,3981,1864,19780,29720,180,1682,100,3981,1864,19780,29720,180,1682,100,8.289288323,10.2995754988,3,6,3,3,50,2.252,3,6,3,3,50,2.252,0.8118187103,0.5773502692,0.4082482905,0.5773502692,1.7320508076,,,Tampa Bay,67,0.274,750,1519,289,40,157,717,412,990,151,133,1065,0.329,Cincinnati    ,73,0.261,820,1453,335,15,222,784,611,1303,72,116,1176,0.339,41.95,12,500,,,37.52,248,1,0.8,5.9,5.7,7,4.1,16.1
24,34,0,3.1,102,,,,,,20,PT CRUISER,T,148,220,L4,F,2,3625,9.5,2.69,37.3,Y,0.002,0.03,260,34.1,11,6.2,20.2,32.4,94.5,2.1,1.9,15.63,225.6,5.375,89.09,1650,1.2,1.15,1.1,0.8,0.025,444,15,10,86,2,5,5,0.137,2.252,,,,,,,,,,12,58,19,93,Eli,Manning,NYG,479,289,60.3,3238,6.76,21,4.4,48,10,2.1,86.4,Los Angeles,28,29,16,9,81,205,217,356,50,14,1163,6,14.2,336,65,80.7,9,4,44,,,,,,,,,,0.101,7.3,2.5,6.8,3622,1674,19020,29370,161,1630,100,3622,1674,19020,29370,161,1630,100,8.1947816384,10.2877290242,3,8,8,3,50,9.167,3,8,8,3,50,9.167,2.215610079,0.5773502692,0.3535533906,0.3535533906,1.7320508076,,,Kansas City,56,0.263,701,1445,289,34,126,653,424,1008,53,139,1062,0.32,Los Angeles   ,71,0.253,685,1374,284,21,149,653,541,1094,58,139,1135,0.326,11.66,2,360,,,37.13,260,1,0.7,7.7,6.6,6.7,3.7,16.1
42,30,0,3,88,,,,,,20,RAM 1500 PICKUP 2WD,T,500,500,M6,R,2,5250,9.6,4.1,22.3,Y,0.01,0.1,474,18.7,11.3,6.2,19.2,31.4,83.4,1.9,1.8,15.38,229.7,5.875,101,1650,2,1.15,1,0.8,0.025,666,15,15,8,2,5,5,0.0214,0.851,,,,,,,,,,8,50,18,89,Donovan,McNabb,PHI,571,345,60.4,3916,6.86,23,4,90,11,1.9,86.4,Minnesota,30,29,20,3,83,188,183,338,46,13.6,1035,44,12.6,283,44,84.5,7,7,46,,,,,,,,,,0.232,8.5,2,6.6,3125,1440,18030,28940,139,1572,101,3125,1440,18030,28940,139,1572,101,8.0471895622,10.2729800002,4,8,4,8,50,0.694,4,8,4,8,50,0.694,-0.3652833185,0.5,0.3535533906,0.5,2.8284271247,,,,,,,,,,,,,,,,,,Colorado      ,67,0.267,740,1477,280,34,150,704,509,1103,65,125,1197,0.333,21.65,4,205,,,34.7,243,1,1,7.1,4.4,5.8,4.1,15.5
50,48,1,4.2,70,,,,,,20,RAM 1500 PICKUP 4WD,T,348,345,L5,4,2,6000,8.6,3.92,29,Y,0,0,0,20.3,11.5,5.6,17,33.2,85.2,2.1,2.1,14.38,234,8.875,171.9,1650,2,1.1,1.1,0.8,0.026,888,15,20,32,2,5,5,0.0175,0.269,,,,,,,,,,7,50,18,86,Jay,Cutler,DEN,616,384,62.3,4526,7.35,25,4.1,93,18,2.9,86,Montreal,41,30,7,4,93,208,192,319,55,17.2,1039,16,12.7,314,55,82.5,5,6,51,,,,,,,,,,0.306,9.5,2.5,5,4560,2165,20680,30160,208,1704,98,4560,2165,20680,30160,208,1704,98,8.4250779025,10.3142718221,5,2,2,2,50,0.379,5,2,2,2,50,0.379,-0.9702190739,0.4472135955,0.7071067812,0.7071067812,1.4142135624,,,,,,,,,,,,,,,,,,Pittsburgh    ,67,0.259,680,1445,292,38,139,656,471,1092,73,130,1193,0.322,17.89,4,400,,,33.92,238,1,0.9,5.5,5.6,5.6,4.4,15.5
58,61,1,4.6,52,,,,,,20,SEBRING 4-DR,C,165,200,L4,F,2,3625,9.7,2.69,36.8,Y,0.011,0.12,252,35.1,11.8,6,19.8,35.4,84.1,2,1.8,15.5,230,4,66.8,1650,2.2,1.1,1.1,0.8,0.024,14.8,20,0.25,44,1,5,5,0.0764,0.433,,,,,,,,,,8,50,19,72,Trent,Edwards,BUF,374,245,65.5,2699,7.22,11,2.9,65,10,2.7,85.4,Nashville,38,29,11,4,91,216,217,426,72,16.9,1360,28,16.6,266,64,85.3,8,5,41,,,,,,,,,,0.0923,7.4,2.8,7.8,4340,2048,20340,29960,199,1679,96,4340,2048,20340,29960,199,1679,96,8.3756296271,10.3076184376,2,2,2,3,50,0.485,2,2,2,3,50,0.485,-0.723606388,0.7071067812,0.7071067812,0.7071067812,1.7320508076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,20,600,,,32.13,224,1,1,6.3,5.4,4.8,4.6,13.8
60,71,1,5.3,43,,,,,,20,STRATUS 4-DR,C,148,167,L4,F,2,3500,9.5,2.69,36.8,Y,0.002,0.06,233,37.9,12.3,5.8,18.8,34,86.9,2.1,1.8,14.25,224.3,8,157.1,1650,2.2,1.1,1.1,0.8,0.025,29.6,20,0.5,63,2,5,5,0,0.141,,,,,,,,,,8,50,19,79,Jake,Delhomme,CAR,414,246,59.4,3288,7.94,15,3.6,65,12,2.9,84.7,New Jersey,43,25,12,2,100,213,164,312,51,16.3,894,14,10.9,351,39,81.8,14,8,48,,,,,,,,,,0.116,7.8,2.8,7.7,4115,1916,19860,29710,187,1642,94,4115,1916,19860,29710,187,1642,94,8.3223941131,10.2992389685,10,15,3,3,50,3.345,10,15,3,3,50,3.345,1.2074666936,0.316227766,0.2581988897,0.5773502692,1.7320508076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,1,585,,,35.47,251,1,1,5,5.5,5.5,4.1,13.8
62,62,0,7.2,46,,,,,,20,TOWN & COUNTRY 2WD,T,148,150,L4,F,2,4250,9.4,2.69,34.9,Y,0,0.09,262,33.8,12.5,5.6,18.6,34.2,83,1.9,2,14.5,240.5,10.87,208.4,1650,2.2,1.5,1.1,0.8,0.024,59.2,20,1,42,1,5,5,0.0165,0.275,,,,,,,,,,9,50,20,80,Jason,Campbell,WAS,506,315,62.3,3245,6.41,13,2.6,67,6,1.2,84.3,NY Islanders,38,29,11,4,91,237,210,323,54,16.7,1168,16,14.2,359,52,85.5,11,5,39,,,,,,,,,,0.0764,7.7,3,8,3630,1658,18950,29250,164,1576,94,3630,1658,18950,29250,164,1576,94,8.1969879273,10.2836348527,15,6,2,3,50,0.208,15,6,2,3,50,0.208,-1.5702171993,0.2581988897,0.4082482905,0.7071067812,1.7320508076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.93,10,540,,,33.49,232,1,1,4.6,4.1,4.3,3.1,11.3
68,38,0,7.8,56,,,,,,20,VIPER CONVERTIBLE,C,500,501,M6,R,2,3750,9.6,3.07,19.4,Y,0.007,0.05,342,25.9,,,,,,,,14.62,223.7,7.375,133.4,1650,2.2,1.1,1.1,0.9,0.025,118.4,20,2,62,1,5,5,0.00012,0.135,,,,,,,,,,15,56,20,82,David,Garrard,JAC,535,335,62.6,3620,6.77,15,2.8,41,13,2.4,81.7,NY Rangers,27,40,7,8,69,206,250,322,46,14.3,1459,30,17.8,388,80,79.4,6,8,40,,,,,,,,,,0.439,10.3,1.7,4.2,3210,1489,18700,28890,145,1528,94,3210,1489,18700,28890,145,1528,94,8.0740262161,10.2712507935,15,6,2,3,75,0.201,15,6,2,3,75,0.201,-1.6044503709,0.2581988897,0.4082482905,0.7071067812,1.7320508076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.59,15,250,,,32.29,216,1,0.9,3.4,5,3.4,3.4,7.9
70,41,1,7,59,,,,,,20,WRANGLER/TJ 4WD,T,148,150,M6,4,2,3625,9.5,3.73,40.1,Y,0.004,0.43,337,26.4,,,,,,,,,,,,1650,2.2,1.1,1.1,0.9,0.027,177.6,20,3,36,1,5,5,0.0041,0.175,,,,,,,,,,15,70,20,91,Brett,Favre,NYJ,522,343,65.7,3472,6.65,22,4.2,56,22,4.2,81,Ottawa,43,23,10,6,102,262,189,371,80,21.6,1270,20,15.5,347,57,83.6,6,8,45,,,,,,,,,,0.0944,7.8,3.3,8.5,4330,2062,20500,30190,193,1748,101,4330,2062,20500,30190,193,1748,101,8.373322821,10.3152660227,10,4,3,3,75,0.329,10,4,3,3,75,0.329,-1.1116975282,0.316227766,0.5,0.5773502692,1.7320508076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.88,15,290,,,,,,0.9,6.4,5.4,6.6,4.8,15.1
79,66,1,6.2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,2.2,1.1,1.5,0.9,0.026,592,20,10,,,,,,,,,,,,,,,,,,,,Joe,Flacco,BAL,428,257,60,2971,6.94,14,3.3,70,12,2.8,80.3,Philadelphia,40,21,15,6,101,229,186,314,65,20.7,1357,22,16.5,348,58,83.3,7,3,44,,,,,,,,,,0.117,7.1,3.9,6.6,4119,1929,20050,29960,183,1713,100,4119,1929,20050,29960,183,1713,100,8.3233656944,10.3076184376,3,8,2,2,75,4.966,3,8,2,2,75,4.966,1.6026146871,0.5773502692,0.3535533906,0.7071067812,1.4142135624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.12,16,510,,,,,,1,5.5,5.3,5.3,3.8,13.5
63,31,1,4.1,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,3,1.15,1.5,0.8,0.029,888,20,15,,,,,,,,,,,,,,,,,,,,Kerry,Collins,TEN,415,242,58.3,2676,6.45,12,2.9,56,7,1.7,80.2,Phoenix,22,36,18,6,68,188,245,358,51,14.2,1300,24,15.9,398,71,82.2,9,8,36,,,,,,,,,,0.0726,7.7,4.3,9.5,3891,1815,19680,29770,173,1684,100,3891,1815,19680,29770,173,1684,100,8.266421473,10.301256454,6,6,6,4,75,1.362,6,6,6,4,75,1.362,0.3089542077,0.4082482905,0.4082482905,0.4082482905,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.63,17,590,,,,,,0.7,4.7,4.1,5,3.7,10.8
39,42,0,3.5,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,3,1.1,1.5,0.7,0.03,1184,20,20,,,,,,,,,,,,,,,,,,,,Ben,Roethlisberger,PIT,469,281,59.9,3301,7.04,17,3.6,65,15,3.2,80.1,Pittsburgh,23,47,8,4,58,190,303,360,65,18.1,1270,32,15.5,369,84,77.2,7,15,31,,,,,,,,,,0.0412,7.4,6,10.9,3467,1595,18890,29360,153,1624,99,3467,1595,18890,29360,153,1624,99,8.1510449457,10.2873884827,2,3,8,6,75,1.515,2,3,8,6,75,1.515,0.415415439,0.7071067812,0.5773502692,0.3535533906,2.4494897428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.13,6,100,,,,,,0.7,4.1,4,4.1,4,9.5
49,40,1,2.1,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,3,1.1,1.5,0.75,0.028,22.2,30,0.25,,,,,,,,,,,,,,,,,,,,Kyle,Orton,CHI,465,272,58.5,2972,6.39,18,3.9,65,12,2.6,79.6,San Jose,43,21,12,6,104,219,183,337,56,16.6,1091,18,13.3,319,47,85.3,9,9,42,,,,,,,,,,0.251,7.3,2,5.2,3045,1400,17870,28960,134,1569,100,3045,1400,17870,28960,134,1569,100,8.0212561801,10.2736708465,3,3,8,8,75,0.751,3,3,8,8,75,0.751,-0.2863496272,0.5773502692,0.5773502692,0.3535533906,2.8284271247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.15,5,400,,,,,,1,6,5.4,5.7,4.7,12.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,3,1.15,1.66,0.85,0.032,44.4,30,0.5,,,,,,,,,,,,,,,,,,,,JaMarcus,Russell,OAK,368,198,53.8,2423,6.58,13,3.5,84,8,2.2,77.1,St. Louis,39,30,11,2,91,191,198,341,61,17.9,1274,28,15.5,369,57,84.6,7,11,45,,,,,,,,,,0.00002,7.6,7.8,20.7,4411,2047,20540,30160,193,1746,99,4411,2047,20540,30160,193,1746,99,8.3918567001,10.3142718221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.3,4.6,4.7,4.9,11.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,3.33,1.1,1.5,0.8,0.033,88.8,30,1,,,,,,,,,,,,,,,,,,,,Tyler,Thigpen,KC,420,230,54.8,2608,6.21,18,4.3,75,12,2.9,76,Tampa Bay,46,22,8,6,106,245,192,339,55,16.2,985,34,12,278,42,84.9,15,4,50,,,,,,,,,,,,,,4203,1935,20160,29940,184,1714,99,4203,1935,20160,29940,184,1714,99,8.343553835,10.306950658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.9,4,5.1,5.1,11.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,4,1.1,1.5,0.7,0.039,177.6,30,2,,,,,,,,,,,,,,,,,,,,Gus,Frerotte,MIN,301,178,59.1,2157,7.17,12,4,99,15,5,73.7,Toronto,45,24,10,3,103,242,204,373,75,20.1,1452,20,17.7,386,64,83.4,8,8,43,,,,,,,,,,,,,,3968,1807,19750,29760,173,1679,99,3968,1807,19750,29760,173,1679,99,8.2860174684,10.3009204889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.1,4.9,5,5.1,11.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,4,1.1,1.5,0.7,0.04,266.4,30,3,,,,,,,,,,,,,,,,,,,,Dan,Orlovsky,DET,255,143,56.1,1616,6.34,8,3.1,96,8,3.1,72.6,Vancouver,43,24,10,5,101,235,194,374,56,15,1274,28,15.5,357,50,86,5,8,48,,,,,,,,,,,,,,3531,1591,18890,29350,153,1621,99,3531,1591,18890,29350,153,1621,99,8.1693363959,10.2870478253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.9,4.4,5,4.4,10.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,4,1.15,1.5,0.85,0.035,888,30,10,,,,,,,,,,,,,,,,,,,,Marc,Bulger,STL,440,251,57,2720,6.18,11,2.5,80,13,3,71.4,Washington,23,46,10,3,59,186,253,334,64,19.2,1282,12,15.6,401,75,81.3,4,5,36,,,,,,,,,,,,,,3074,1388,17870,28910,133,1561,99,3074,1388,17870,28910,133,1561,99,8.0307349241,10.271942835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.5,3.7,2.9,3.9,8.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,12.5,1,1.5,0.7,0.056,1332,30,15,,,,,,,,,,,,,,,,,,,,Ryan,Fitzpatrick,CIN,372,221,59.4,1905,5.12,8,2.2,79,9,2.4,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4350,2071,20460,30180,198,1729,102,4350,2071,20460,30180,198,1729,102,8.3779311241,10.3149347323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.2,4.3,5,6,10.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,18.5,1,1.5,0.7,0.068,1776,30,20,,,,,,,,,,,,,,,,,,,,Derek,Anderson,CLE,283,142,50.2,1615,5.71,9,3.2,70,8,2.8,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4128,1944,20010,29940,186,1692,101,4128,1944,20010,29940,186,1692,101,8.3255483072,10.306950658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,4.2,3.8,3,4.7,9.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,40,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3940,1830,19640,29750,178,1667,101,3940,1830,19640,29750,178,1667,101,8.2789360023,10.300584411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.3,3.5,4.3,4.5,12.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2,40,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3480,1612,18710,29360,156,1609,101,3480,1612,18710,29360,156,1609,101,8.1547875728,10.2873884827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.8,5,6,5.2,14.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.4,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3064,1410,17780,28900,136,1552,101,3064,1410,17780,28900,136,1552,101,8.0274765309,10.2715968741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,5,5.7,5.5,4.8,13.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.8,40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4402,2066,20520,30170,197,1758,100,4402,2066,20520,30170,197,1758,100,8.3898142621,10.3146033322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,3.5,4.7,4.2,3.3,12.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.2,40,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4180,1954,20150,29950,188,1729,99,4180,1954,20150,29950,188,1729,99,8.3380665255,10.3072846035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,4.3,5.5,3.5,5.8,10.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3973,1835,19750,29740,178,1690,99,3973,1835,19750,29740,178,1690,99,8.2872767558,10.30024822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,5.2,4.8,5.7,3.5,13.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1776,40,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3530,1616,18850,29320,156,1616,99,3530,1616,18850,29320,156,1616,99,8.1690531499,10.286025156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2368,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3080,1407,17910,28910,137,1569,100,3080,1407,17910,28910,137,1569,100,8.032684876,10.271942835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
