EX 6-7,EX 6-8,EX 6-9,EX 6-10,EX 6-11,EX 6-12,EX 6-15 Exercise,EX 6-15 No Exercise,EX 6-16,EX 6-17,EX 6-18,EX 6-19,EX 6-22,EX 6-23,EX 6-24,EX 6-25,EX 6-29 Country,Ex 6-29 Kilowatts,Ex 6-30,Ex 6-31,Ex 6-32,Ex 6-33,Ex 6-34,Ex 6-35,Ex 6-36,Ex 6-37,EX 6-53,EX 6-54,EX 6-55,EX 6-64,EX 6-65 High Dose,EX 6-65 Control,EX 6-65 Control,EX 6-65 Control,EX 6-66,EX 6-67,EX 6-68,EX 6-69,EX 6-71 year,EX 6-71 No of Earthquakes,EX 6-72 year,EX 6-72 Petroluem Imports,EX 6-72 Percent of Petroluem Products,EX 6-72 Petroluem Imports from Persian Gulf,EX 6-83 2000,EX 6-83 2001,EX 6-83 2002,EX 6-83 2003,EX 6-83 2004,EX 6-83 2005,EX 6-83 2006,EX 6-83 2007,EX 6-83 2008,EX 6-83 2009,EX 6-84,EX 6-85 1999,EX 6-85 2000,EX 6-85 2001,EX 6-85 2002,EX 6-85 2003,EX 6-85 2004,EX 6-85 2005,EX 6-85 2006,EX 6-85 2007,EX 6-85 2008,EX 6-85 2009,EX 6-87 Sample1,EX 6-87 Sample 2,EX 6-88,EX 6-89 Year,EX 6-89 Energy Consumption,EX 6-91,EX 6-91,EX 6-91,EX 6-91,EX 6-91,EX 6-91,EX 6-91,EX 6-91,EX 6-92,EX 6-93,EX 6-94,EX 6-100,EX 6-101,EX 6-101,EX 6-101,EX 6-101,EX 6-101,EX 6-102,EX 6-103 Year,EX 6-103 Drowning Rate,EX 6-104 Symptoms,EX 6-104 Numbers,Example6-4Strength,Example6-7Life,Example6-5Yield,Table6-2
,7.35,7041,128,,878,157.743,,,,,80,89.9,2130,35.4,86.6,"Korea, South",303.33,64,5431,77.4,259.4,669,91,1085,70,,4.8,,,12.9,337.1,280.2,2476.4,48.3,220,16.7,85,1910,36,1983,5051,33.1,8.7,13.1,13.5,13.5,13.4,13.6,13.6,13.5,13.4,13.5,,,4.1,3.9,5.5,5.9,5.8,5.4,5.0,4.5,4.7,6.8,,,,14.3,1990,2837.1,5.764,6.838,7.614,8.314,9.858,10.803,9.842,9.851,46,8,1,,850,800,720,770,810,5.29,1980,15.6,Other,9,153,,75,153
,8.01,6890,128,,909,436.37,,,,,58,98.8,1421,34.6,91.2,Laos,3.3,63,5429,73.1,270.5,669,85,1066,73,,4,,,72.7,102.3,194.2,181.4,47.2,194,17.4,68,1911,24,1984,5437,34.5,9.3,12.5,12.7,12.6,12.9,12.7,12.8,12.9,12.6,12.7,,,4.0,3.9,5.7,6.0,5.7,5.4,4.8,4.4,4.9,7.2,,,,16.1,1991,2886.1,7.132,8.357,9.254,10.651,11.331,13.916,13.076,12.67,51,5,1,,810,830,840,720,940,5.34,1981,19.5,,,174,,77,174
,8.27,,140,,918,,,,,,68,88.3,1109,33.8,86.1,Malaysia,73.63,67,5469,29.8,270.7,675,91,1111,68,,5.2,,,126.7,255.1,408.4,2081.5,48.9,245,17.2,38,1912,22,1985,5067,32.2,6.1,,,,,,,,,,,,,,,,,,,,,,,,,13.1,1992,2897.2,,,,,,,,,44,9,2,,950,850,620,760,790,5.26,1982,14.0,,,120,,78,120
,12.06,,156,,558,,,,,,60,90.4,1481,37.1,90.4,Mongolia,2.91,68,5408,73.1,272.6,679,90,1364,69,,4.3,,,46.4,100.5,155.5,424.3,48.6,209,17.4,23,1913,23,1986,6224,38.2,14.6,,,,,,,,,,,,,,,,,,,,,,,,,15.5,1993,3000.7,,,,,,,,,49,7,3,,1000,800,850,840,950,5.44,1983,13.1,,,168,,78,168
,31.75,,160,,768,,,,,,67,91.2,1567,34,89.1,Nepal,2.3,64,5391,57.4,272.2,720,88,1254,71,,2.8,,,60.3,159.9,864.6,188.1,48,201,17.4,10,1914,22,1987,6678,40.0,16.1,,,,,,,,,,,,,,,,,,,,,,,,,12.6,1994,3080.9,,,,,,,,,46,8,3,,980,880,860,740,810,5.46,1984,10.5,,,167,,79,167
,32.52,,160,,870,,,,,,72,90.6,1883,34.1,87.3,New Zealand,37.03,66,5436,64.2,251.1,727,89,1396,67,,2,,,23.5,168,355.4,563,47.5,195,17,24,1915,18,1988,7402,42.8,20.8,,,,,,,,,,,,,,,,,,,,,,,,,14.6,1995,3164.0,,,,,,,,,51,11,2,,1000,790,840,850,800,5.55,1985,11.5,,,141,,81,141
,33.91,,164,,918,,,,,,73,92.2,1203,33.6,84.1,Pakistan,71.54,68,5425,54.7,232.1,652,91,1575,68,,2.8,,,43.6,95.2,634,149.1,48.6,255,17.3,83,1916,25,1989,8061,46.5,23.0,,,,,,,,,,,,,,,,,,,,,,,,,14.3,1996,3253.8,,,,,,,,,49,3,0,,980,900,970,750,820,5.34,1986,12.9,,,245,,83,245
,36.71,,170,,940,,,,,,70,87.7,1270,34.7,90.1,Philippines,44.48,69,5411,77.3,273,723,91,1617,65,,3.3,,,79.4,132.5,2029.9,2122.9,48,245,17.2,132,1917,21,1990,8018,47.1,24.5,,,,,,,,,,,,,,,,,,,,,,,,,15.4,1997,3301.8,,,,,,,,,45,6,2,,960,760,840,850,840,5.3,1987,8.4,,,228,,84,228
,72.89,,,,946,,,,,,57,91.1,1015,35,95.2,Singapore,30.89,65,5485,58.7,266.6,644,89,1733,68,,4.8,,,38,442.6,362.1,1295.9,47.9,235,17.4,131,1918,21,1991,7627,45.6,24.1,,,,,,,,,,,,,,,,,,,,,,,,,15.2,1998,3425.1,,,,,,,,,44,7,0,,880,840,950,760,850,5.36,1988,9.2,,,174,,84,174
,,,,,661,,,,,,63,86.7,845,35.4,86.1,Sri Lanka,6.8,67,5401,81.3,273.2,715,88,2753,68,,5,,,58.2,15.8,,,48.3,220,16.8,118,1919,14,1992,7888,46.3,22.5,,,,,,,,,,,,,,,,,,,,,,,,,16.8,1999,3483.7,,,,,,,,,50,7,1,,960,800,840,780,870,5.79,1989,11.9,,,199,,87,199
,,,,,820,,,,,,70,93.4,1674,36.2,94.3,Taiwan,154.34,62,5475,45.3,265.7,719,86,3186,69,,,,,26.5,175.6,,,48.5,249,17.1,90,1920,8,1993,8620,50.0,20.6,,,,,,,,,,,,,,,,,,,,,,,,,14.9,2000,3592.4,,,,,,,,,48,11,,,,,,,,5.75,1990,5.8,,,181,,88,181
,,,,,898,,,,,,78,96.1,1016,36.8,93.2,Thailand,107.34,66,5401,72.6,264.5,700,92,3227,70,,,,,25.1,131.1,,,48.1,251,17.4,67,1921,11,1994,8996,50.7,19.2,,,,,,,,,,,,,,,,,,,,,,,,,13.7,2001,3557.1,,,,,,,,,50,4,,,,,,,,5.29,1991,8.5,,,158,,88,158
,,,,,935,,,,,,52,89.6,1102,35.1,86.7,Vietnam,36.92,68,5416,57.1,245.5,701,92,3469,74,,,,,,,,,48,238,17.4,60,1922,14,1995,8835,49.8,17.8,,,,,,,,,,,,,,,,,,,,,,,,,15.2,2002,3631.7,,,,,,,,,49,4,,,,,,,,5.1,1992,7.1,,,176,,92,176
,,,,,952,,,,,,67,90.4,1605,35.3,83,Asia & Oceania,"4,403.92",67,5481,48.5,280.3,691,84,1911,71,,,,,,,,,48.3,210,17.5,47,1923,23,1996,9478,51.7,16.9,,,,,,,,,,,,,,,,,,,,,,,,,14.5,2003,3662.0,,,,,,,,,50,8,,,,,,,,5.86,1993,7.9,,,110,,93,110
,,,,,957,,,,,,53,91.6,706,32.6,95.3,,,66,5477,52.1,248.3,660,89,2588,69,,,,,,,,,43.2,198,17.4,41,1924,18,1997,10162,54.5,17.2,,,,,,,,,,,,,,,,,,,,,,,,,15.3,2004,3715.9,,,,,,,,,,7,,,,,,,,5.58,1994,8.0,,,163,,95,163
,,,,,693,,,,,,67,90.7,2215,33.1,94.1,,,65,5454,59.9,267,653,89,2635,70,,,,,,,,,43,199,17.6,21,1925,17,1998,10708,56.6,19.9,,,,,,,,,,,,,,,,,,,,,,,,,15.6,2005,3811.0,,,,,,,,,,5,,,,,,,,5.27,1995,9.9,,,131,,,131
,,,,,835,,,,,,75,88.6,785,34.6,97.8,,,69,5388,80.1,271.5,664,87,2725,69,,,,,,,,,43.5,183,17.4,16,1926,19,1999,10852,55.5,22.7,,,,,,,,,,,,,,,,,,,,,,,,,15.8,2006,3816.8,,,,,,,,,,6,,,,,,,,5.85,1996,8.5,,,154,,,154
,,,,,905,,,,,,61,88.3,885,35.9,93.1,,,65,5399,72.5,240.8,710,85,,,,,,,,,,,43.1,213,17.3,6,1927,20,2000,11459,58.1,21.7,,,,,,,,,,,,,,,,,,,,,,,,,13.3,2007,3891.7,,,,,,,,,,4,,,,,,,,6.65,1997,9.1,,,115,,,115
,,,,,939,,,,,,70,94.2,1223,34.7,86.4,,,70,5431,77.3,268.9,683,91,,,,,,,,,,,43,236,17,4,1928,22,2001,11871,60.4,23.2,,,,,,,,,,,,,,,,,,,,,,,,,14.1,,,,,,,,,,,,5,,,,,,,,5.39,1998,9.7,,,160,,,160
,,,,,955,,,,,,81,85.3,375,33.6,87.6,,,65,5407,89.8,263.5,665,86,,,,,,,,,,,42.9,245,17.8,7,1929,19,2002,11530,58.3,19.6,,,,,,,,,,,,,,,,,,,,,,,,,15.4,,,,,,,,,,,,8,,,,,,,,,1999,6.2,,,208,,,208
,,,,,960,,,,,,76,90.1,2265,32.9,94.1,,,67,5442,55.8,262.2,699,89,,,,,,,,,,,43.6,209,17.5,14,1930,13,2003,12264,61.2,20.3,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,,,,,,,,,,,19,,,,,,,,,2000,7.2,,,158,,,158
,,,,,498,,,,,,79,89.3,1910,33.5,92.1,,,68,5446,56.9,244.8,718,90,,,,,,,,,,,43.3,212,18.1,34,1931,26,2004,13145,63.4,18.9,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,,,,,,,,,,,19,,,,,,,,,2001,8.7,,,133,,,133
,,,,,653,,,,,,75,91.1,1018,33.8,96.4,,,65,5377,49.7,279.6,721,91,,,,,,,,,,,43,185,17.5,45,1932,13,2005,13714,65.9,17.0,,,,,,,,,,,,,,,,,,,,,,,,,15.9,,,,,,,,,,,,18,,,,,,,,,2002,5.8,,,207,,,207
,,,,,730,,,,,,76,92.2,1452,34.2,88.2,,,63,5453,46.1,272.7,683,89,,,,,,,,,,,42.8,187,17.4,43,1933,14,2006,13707,66.3,16.1,,,,,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,12,,,,,,,,,2003,5.7,,,180,,,180
,,,,,753,,,,,,58,83.4,1890,33.4,86.4,,,64,5447,39.3,278.7,695,95,,,,,,,,,,,43.1,218,17.4,48,1934,22,2007,13468,65.1,16.1,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,,,,,,,,11,,,,,,,,,2004,5.2,,,190,,,190
,,,,,,,,,,,31,91,2100,34.7,85,,,67,5453,50.7,255.8,637,90,,,,,,,,,,,43.2,190,17.1,42,1935,24,2008,12915,66.2,18.4,,,,,,,,,,,,,,,,,,,,,,,,,15.1,,,,,,,,,,,,17,,,,,,,,,,,,,193,,,193
,,,,,,,,,,,,88.2,1594,34.6,84.9,,,67,5388,57,276.1,702,90,,,,,,,,,,,43.6,175,17.6,28,1936,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,15,,,,,,,,,,,,,194,,,194
,,,,,,,,,,,,88.5,2023,35.2,78.3,,,,5431,62.2,274.2,680,90,,,,,,,,,,,43.2,178,17.7,10,1937,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,,,,,,,17,,,,,,,,,,,,,133,,,133
,,,,,,,,,,,,93.3,1315,35,89.6,,,,5416,42.8,267.4,695,92,,,,,,,,,,,43.5,175,17.4,8,1938,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,,,,,,,,13,,,,,,,,,,,,,156,,,156
,,,,,,,,,,,,87.4,1269,34.9,90.3,,,,5385,53.1,244.5,676,83,,,,,,,,,,,43,190,17.8,2,1939,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,13,,,,,,,,,,,,,123,,,123
,,,,,,,,,,,,91.1,1260,35.8,93.1,,,,5376,76.4,252,670,,,,,,,,,,,,,,17.6,0,1940,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,,,,,,,,,,,,,,,,,,,,,,,,,134,,,134
,,,,,,,,,,,,90.5,1888,37.6,94.6,,,,5487,52,264,690,,,,,,,,,,,,,,17.5,1,1941,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,,,,,,178,,,178
,,,,,,,,,,,,100.3,1782,37.3,96.3,,,,5454,68.7,247.7,683,,,,,,,,,,,,,,16.5,5,1942,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,,,,,,,,,,,,,,,,,,,,,,,,,76,,,76
,,,,,,,,,,,,87.6,1522,34.6,94.7,,,,5422,69.9,273.6,705,,,,,,,,,,,,,,17.8,12,1943,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,167,,,167
,,,,,,,,,,,,92.7,1792,35.5,91.1,,,,5329,42.4,264.5,701,,,,,,,,,,,,,,17.3,14,1944,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,,,,,,,,,,,,,,,,,,,,,,,,,184,,,184
,,,,,,,,,,,,87.9,1000,32.8,92.4,,,,5428,56.1,285.3,660,,,,,,,,,,,,,,17.3,35,1945,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,135,,,135
,,,,,,,,,,,,93,1820,32.1,90.6,,,,5378,59.3,277.8,661,,,,,,,,,,,,,,17.1,46,1946,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,229,,,229
,,,,,,,,,,,,94.4,1940,34.5,89.1,,,,5440,59.6,261.4,684,,,,,,,,,,,,,,17.4,41,1947,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,146,,,146
,,,,,,,,,,,,90.4,1120,34.7,88.8,,,,5431,67.3,253.6,678,,,,,,,,,,,,,,16.9,30,1948,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,218,,,218
,,,,,,,,,,,,91.2,910,33.6,86.4,,,,5440,66.9,278.5,665,,,,,,,,,,,,,,17.3,24,1949,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,,,,,,,,,,,,,,,,,,,,,,,,157,,,157
,,,,,,,,,,,,86.7,1730,32.5,85.1,,,,5388,59.6,260,710,,,,,,,,,,,,,,,16,1950,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,101,,,101
,,,,,,,,,,,,94.2,1102,34.1,84,,,,5416,67.2,271.2,681,,,,,,,,,,,,,,,7,1951,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,,,,,,,,,,,,,,,,,,,,,,,,171,,,171
,,,,,,,,,,,,90.8,1578,35.1,93.7,,,,5375,51.1,254.8,735,,,,,,,,,,,,,,,4,1952,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,165,,,165
,,,,,,,,,,,,90.1,758,36.8,87.7,,,,5354,66.1,256.1,746,,,,,,,,,,,,,,,2,1953,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,172,,,172
,,,,,,,,,,,,91.8,1416,37.9,90.6,,,,5473,67.3,264.5,724,,,,,,,,,,,,,,,8,1954,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,158,,,158
,,,,,,,,,,,,88.4,1560,36.4,89.4,,,,5418,59,255.4,693,,,,,,,,,,,,,,,17,1955,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,169,,,169
,,,,,,,,,,,,92.6,1055,34.6,88.6,,,,5481,65.8,259.5,720,,,,,,,,,,,,,,,36,1956,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,,,,,,,,,,,,,,,,,,,,,,,,,199,,,199
,,,,,,,,,,,,93.7,1764,33.6,84.1,,,,5413,70.7,274.9,705,,,,,,,,,,,,,,,50,1957,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,151,,,151
,,,,,,,,,,,,96.5,1330,34.1,82.6,,,,5390,73.8,272.1,674,,,,,,,,,,,,,,,62,1958,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,142,,,142
,,,,,,,,,,,,84.3,1608,34.7,83.1,,,,5422,31.6,273.3,675,,,,,,,,,,,,,,,67,1959,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,,,,,,,,,,,,,,,,,,,,,,,,,163,,,163
,,,,,,,,,,,,93.2,1535,35.7,84.6,,,,5459,,279.3,722,,,,,,,,,,,,,,,71,1960,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,145,,,145
,,,,,,,,,,,,88.6,1781,36.8,83.6,,,,5382,,279.8,702,,,,,,,,,,,,,,,48,1961,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,171,,,171
,,,,,,,,,,,,88.7,1750,34.3,85.4,,,,5409,,272.8,688,,,,,,,,,,,,,,,28,1962,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,148,,,148
,,,,,,,,,,,,92.7,1501,32.7,89.7,,,,5421,,268.5,706,,,,,,,,,,,,,,,8,1963,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,158,,,158
,,,,,,,,,,,,89.3,1238,,87.6,,,,5423,,283.7,668,,,,,,,,,,,,,,,13,1964,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,160,,,160
,,,,,,,,,,,,91,990,,85.1,,,,5465,,263.2,679,,,,,,,,,,,,,,,57,1965,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,175,,,175
,,,,,,,,,,,,87.5,1468,,89.6,,,,5387,,257.5,695,,,,,,,,,,,,,,,122,1966,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,149,,,149
,,,,,,,,,,,,87.8,1512,,90,,,,5406,,233.7,681,,,,,,,,,,,,,,,138,1967,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,,87,,,87
,,,,,,,,,,,,88.3,1750,,90.1,,,,5399,,260.2,656,,,,,,,,,,,,,,,103,1968,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,160,,,160
,,,,,,,,,,,,89.2,1642,,94.3,,,,5448,,263.7,655,,,,,,,,,,,,,,,86,1969,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,237,,,237
